Total Transactions,Transaction Index,Unix Timestamp,Readable Timestamp,Open,Close,High,Low,tVol,UTC Date,Daily Total Volume,Cumulative Daily Volume,Cumulative Total Volume (Till Date)
531,61,1677704518,"Wed, 01 Mar 2023 21:01:58 GMT",4376450265741476803697504088763385917056576,4511605411792481918214715811262143955451176,4511605411792481918214715811262143955451176,4466510668787650744576590358616038204810944,46343987501393433062698448578438303920,2023-03-01,5751863052052038838701889712207113081688,2829284046470958368465065411775603372790,2829284046470958368465065411775603372790
531,62,1677704524,"Wed, 01 Mar 2023 21:02:04 GMT",4511605411792481918214715811262143955451176,4616174914062758039537827255515354690222540,4616174914062758039537827255515354690222540,4616174914062758039537827255515354690222540,35385951088192436475883416000000000000,2023-03-01,5751863052052038838701889712207113081688,2864669997559150804940948827775603372790,2864669997559150804940948827775603372790
531,63,1677704533,"Wed, 01 Mar 2023 21:02:13 GMT",4616174914062758039537827255515354690222540,4662049309957703451662675209092399375972312,4662049309957703451662675209092399375972312,4662049309957703451662675209092399375972312,15442748798251435994160856044962014644,2023-03-01,5751863052052038838701889712207113081688,2880112746357402240935109683820565387434,2880112746357402240935109683820565387434
531,64,1677704536,"Wed, 01 Mar 2023 21:02:16 GMT",4662049309957703451662675209092399375972312,4722691006448814440821890340193812511965848,4722691006448814440821890340193812511965848,4722691006448814440821890340193812511965848,20252283721302696853572482975379685854,2023-03-01,5751863052052038838701889712207113081688,2900365030078704937788682166795945073288,2900365030078704937788682166795945073288
531,65,1677704539,"Wed, 01 Mar 2023 21:02:19 GMT",4722691006448814440821890340193812511965848,4789866806466501152979984024135970469945118,4789866806466501152979984024135970469945118,4789866806466501152979984024135970469945118,22266707190404355734654547885113986536,2023-03-01,5751863052052038838701889712207113081688,2922631737269109293523336714681059059824,2922631737269109293523336714681059059824
531,66,1677704551,"Wed, 01 Mar 2023 21:02:31 GMT",4789866806466501152979984024135970469945118,4857067232065250003648751688766164281933768,4857067232065250003648751688766164281933768,4857067232065250003648751688766164281933768,22115405369800453678687815000000000000,2023-03-01,5751863052052038838701889712207113081688,2944747142638909747202024529681059059824,2944747142638909747202024529681059059824
531,67,1677704569,"Wed, 01 Mar 2023 21:02:49 GMT",4857067232065250003648751688766164281933768,4883366274897705499150835205780511552779426,4883366274897705499150835205780511552779426,4883366274897705499150835205780511552779426,8624952509983521216937268850000000000,2023-03-01,5751863052052038838701889712207113081688,2953372095148893268418961798531059059824,2953372095148893268418961798531059059824
531,68,1677704584,"Wed, 01 Mar 2023 21:03:04 GMT",4883366274897705499150835205780511552779426,4909839918597536471411001434560699067412672,4909839918597536471411001434560699067412672,4909839918597536471411001434560699067412672,8625079207444072655906863200000000000,2023-03-01,5751863052052038838701889712207113081688,2961997174356337341074868661731059059824,2961997174356337341074868661731059059824
531,69,1677704593,"Wed, 01 Mar 2023 21:03:13 GMT",4909839918597536471411001434560699067412672,5115311131025860158379222413433808598575520,5115311131025860158379222413433808598575520,5046352761047109949552764754233334101117216,66346763134185174276206640000000000000,2023-03-01,5751863052052038838701889712207113081688,3028343937490522515351075301731059059824,3028343937490522515351075301731059059824
531,70,1677704593,"Wed, 01 Mar 2023 21:03:13 GMT",4909839918597536471411001434560699067412672,5115311131025860158379222413433808598575520,5115311131025860158379222413433808598575520,5046352761047109949552764754233334101117216,66346763134185174276206640000000000000,2023-03-01,5751863052052038838701889712207113081688,3094690700624707689627281941731059059824,3094690700624707689627281941731059059824
